idiom,meaning,transliteration,language
A bird in the hand is worth two in the bush,What you have is worth more than what you might have later,A bird in the hand is worth two in the bush,english
A penny for your thoughts,Tell me what you're thinking,A penny for your thoughts,english
A penny saved is a penny earned,Money you save today you can spend later,A penny saved is a penny earned,english
A perfect storm,the worst possible situation,A perfect storm,english
A picture is worth 1000 words,Better to show than tell,A picture is worth 1000 words,english
Actions speak louder than words,Believe what people do and not what they say,Actions speak louder than words,english
Add insult to injury,To make a bad situation worse,Add insult to injury,english
Barking up the wrong tree,"To be mistaken, to be looking for solutions in the wrong place",Barking up the wrong tree,english
Birds of a feather flock together,People who are alike are often friends (usually used negatively),Birds of a feather flock together,english
Bite off more than you can chew,Take on a project that you cannot finish,Bite off more than you can chew,english
Break the ice,Make people feel more comfortable,Break the ice,english
By the skin of your teeth,Just barely,By the skin of your teeth,english
Comparing apples to oranges,Comparing two things that cannot be compared,Comparing apples to oranges,english
Costs an arm and a leg,Very expensive,Costs an arm and a leg,english
Do something at the drop of a hat,Do something without having planned beforehand,Do something at the drop of a hat,english
Do unto others as you would have them do unto you,"Treat people fairly. Also known as ""The Golden Rule""",Do unto others as you would have them do unto you,english
Don't count your chickens before they hatch,Don't count on something good happening until it's happened.,Don't count your chickens before they hatch,english
Don't cry over spilt milk,There's no reason to complain about something that can't be fixed,Don't cry over spilt milk,english
Don't give up your day job,You're not very good at this,Don't give up your day job,english
Don't put all your eggs in one basket,What you're doing is too risky,Don't put all your eggs in one basket,english
Every cloud has a silver lining,Good things come after bad things,Every cloud has a silver lining,english
Get a taste of your own medicine,Get treated the way you've been treating others (negative),Get a taste of your own medicine,english
Give someone the cold shoulder,Ignore someone,Give someone the cold shoulder,english
Go on a wild goose chase,To do something pointless,Go on a wild goose chase,english
Good things come to those who wait,Be patient,Good things come to those who wait,english
He has bigger fish to fry,He has bigger things to take care of than what we are talking about now,He has bigger fish to fry,english
He's a chip off the old block,The son is like the father,He's a chip off the old block,english
Hit the nail on the head,Get something exactly right,Hit the nail on the head,english
Ignorance is bliss,You're better off not knowing,Ignorance is bliss,english
It ain't over till the fat lady sings,This isn't over yet,It ain't over till the fat lady sings,english
It takes one to know one,You're just as bad as I am,It takes one to know one,english
It's a piece of cake,It's easy,It's a piece of cake,english
It's raining cats and dogs,It's raining hard,It's raining cats and dogs,english
Kill two birds with one stone,Get two things done with a single action,Kill two birds with one stone,english
Let the cat out of the bag,Give away a secret,Let the cat out of the bag,english
Live and learn,I made a mistake,Live and learn,english
Look before you leap,Take only calculated risks,Look before you leap,english
On thin ice,"On probation. If you make another mistake, there will be trouble.",On thin ice,english
Once in a blue moon,Rarely,Once in a blue moon,english
Play devil's advocate,"To argue the opposite, just for the sake of argument",Play devil's advocate,english
Put something on ice,Put a projet on hold,Put something on ice,english
Rain on someone's parade,To spoil something,Rain on someone's parade,english
Saving for a rainy day,Saving money for later,Saving for a rainy day,english
Slow and steady wins the race,Reliability is more important than speed,Slow and steady wins the race,english
Spill the beans,Give away a secret,Spill the beans,english
Take a rain check,Postpone a plan,Take a rain check,english
Take it with a grain of salt,Don‚Äôt take it too seriously,Take it with a grain of salt,english
The ball is in your court,It's your decision,The ball is in your court,english
The best thing since sliced bread,A really good invention,The best thing since sliced bread,english
The devil is in the details,"It looks good from a distance, but when you look closer, there are problems",The devil is in the details,english
The early bird gets the worm,The first people who arrive will get the best stuff,The early bird gets the worm,english
The elephant in the room,"The big issue, the problem people are avoiding",The elephant in the room,english
The whole nine yards,"Everything, all the way.",The whole nine yards,english
There are other fish in the sea,It's ok to miss this opportunity. Others will arise.,There are other fish in the sea,english
There's a method to his madness,He seems crazy but actually he's clever,There's a method to his madness,english
There's no such thing as a free lunch,Nothing is entirely free,There's no such thing as a free lunch,english
Throw caution to the wind,Take a risk,Throw caution to the wind,english
You can't have your cake and eat it too,You can't have everything,You can't have your cake and eat it too,english
You can't judge a book by its cover,"This person or thing may look bad, but it's good inside",You can't judge a book by its cover,english
A little learning is a dangerous thing,People who don't understand something fully are dangerous,A little learning is a dangerous thing,english
A snowball effect,Events have momentum and build upon each other,A snowball effect,english
A snowball's chance in hell,No chance at all,A snowball's chance in hell,english
A stitch in time saves nine,Fix the problem now because it will get worse later,A stitch in time saves nine,english
A storm in a teacup,A big fuss about a small problem,A storm in a teacup,english
An apple a day keeps the doctor away,Apples are good for you,An apple a day keeps the doctor away,english
An ounce of prevention is worth a pound of cure,You can prevent a problem with little effort. Fixing it later is harder.,An ounce of prevention is worth a pound of cure,english
As right as rain,Perfect,As right as rain,english
Bolt from the blue,Something that happened without warning,Bolt from the blue,english
Burn bridges,Destroy relationships,Burn bridges,english
Calm before the storm,"Something bad is coming, but right now it's calm",Calm before the storm,english
Come rain or shine,No matter what,Come rain or shine,english
Curiosity killed the cat,Stop asking questions,Curiosity killed the cat,english
Cut the mustard,Do a good job,Cut the mustard,english
Don't beat a dead horse,"Move on, this subject is over",Don't beat a dead horse,english
Every dog has his day,Everyone gets a chance at least once,Every dog has his day,english
Familiarity breeds contempt,The better you know someone the less you like him,Familiarity breeds contempt,english
Fit as a fiddle,In good health,Fit as a fiddle,english
Fortune favours the bold,Take risks,Fortune favours the bold,english
Get a second wind,Have more energy after having been tired,Get a second wind,english
Get wind of something,Hear news of something secret,Get wind of something,english
Go down in flames,Fail spectacularly,Go down in flames,english
Haste makes waste,You'll make mistakes if you rush through something,Haste makes waste,english
Have your head in the clouds,Not be concentrating,Have your head in the clouds,english
He who laughs last laughs loudest,I'll get you back for what you did,He who laughs last laughs loudest,english
Hear something straight from the horse's mouth,Hear something from the person involved,Hear something straight from the horse's mouth,english
He's not playing with a full deck,He's dumb,He's not playing with a full deck,english
He's off his rocker,He's crazy,He's off his rocker,english
He's sitting on the fence,He can't make up his mind,He's sitting on the fence,english
It is a poor workman who blames his tools,"If you can't do the job, don't blame it on others",It is a poor workman who blames his tools,english
It is always darkest before the dawn,Things are going to get better,It is always darkest before the dawn,english
It takes two to tango,One person alone isn't responsible. Both people are involved.,It takes two to tango,english
Jump on the bandwagon,"Follow a trend, do what everyone else is doing",Jump on the bandwagon,english
Know which way the wind is blowing,Understand the situation (usually negative),Know which way the wind is blowing,english
Leave no stone unturned,Look everywhere,Leave no stone unturned,english
Let sleeping dogs lie,Stop discussing an issue,Let sleeping dogs lie,english
Like riding a bicycle,Something you never forget how to do,Like riding a bicycle,english
Like two peas in a pod,They're always together,Like two peas in a pod,english
Make hay while the sun shines,Take advantage of a good situation,Make hay while the sun shines,english
On cloud nine,Very happy,On cloud nine,english
"Once bitten, twice shy",You're more cautious when you've been hurt before,"Once bitten, twice shy",english
Out of the frying pan and into the fire,Things are going from bad to worse,Out of the frying pan and into the fire,english
Run like the wind,Run fast,Run like the wind,english
Shape up or ship out,Work better or leave,Shape up or ship out,english
Snowed under,Busy,Snowed under,english
That ship has sailed,It's too late,That ship has sailed,english
The pot calling the kettle black,Someone criticizing someone else he is just as bad,The pot calling the kettle black,english
There are clouds on the horizon,Trouble is coming,There are clouds on the horizon,english
Those who live in glass houses shouldn't throw stones,People who are morally questionable shouldn't criticize others,Those who live in glass houses shouldn't throw stones,english
Through thick and thin,In good times and in bad times,Through thick and thin,english
Time is money,Work quickly,Time is money,english
"Waste not, want not",Don't waste things and you'll always have enough,"Waste not, want not",english
We see eye to eye,We agree,We see eye to eye,english
Weather the storm,Go through something difficult,Weather the storm,english
Well begun is half done,Getting a good start is important,Well begun is half done,english
When it rains it pours,Everything is going wrong at once,When it rains it pours,english
You can catch more flies with honey than you can with vinegar,You'll get what you want by being nice,You can catch more flies with honey than you can with vinegar,english
"You can lead a horse to water, but you can't make him drink",You can't force someone to make the right decision,"You can lead a horse to water, but you can't make him drink",english
You can't make an omelet without breaking some eggs,There's always a cost to doing something,You can't make an omelet without breaking some eggs,english
 _____ ______,to avoid eye contact,,hindi
 ____ __ ____,Beloved,,hindi
 ____ ____ ____,to celebrate a happy occasion,,hindi
 ____ _____,to be sad/disappointed,,hindi
 _____ ___ _____ _____,to be very surprised,,hindi
 ____ ____,to feel free after much work,,hindi
 ___ _____ ____,to be agree on something,,hindi
 ___-___ ____,to escape trouble by a close margin,,hindi
 ___ __ ______,to be dumb,,hindi
 ___ __ _____,to be fearless,,hindi
 ___ ___ ____ _____,to be very hungry,,hindi
 _____ __ _____,to be proud,,hindi
 ____ _____ __ ____,to be a big difference,,hindi
 ___ __ _____ ____,to run at high speed,,hindi
 _____ __ ____,to be firm on saying,,hindi
 _____ ___ _____,to get into a big trouble,,hindi
 __ __ ____ ____,to be rarely seen,,hindi
 ____ ____,to deceive,,hindi
 _____ ____ ____,an unusual occurrence ,,hindi
 ______ _______,to defeat,,hindi
 ____ ____ __ ___ ____,to be very careful ,,hindi
 __ ___ __ ___,to feel free from fear,,hindi
 ____ __ ____ _____,to feel very cold,,hindi
 ____ ___ ____ ___,to be tempted by food,,hindi
 ___ _____,to blame or embarrass someone,,hindi
 ___ _____,to feel disappointed,,hindi
 ___ ____,to prepare for something,,hindi
 _____ _____ __ ____,to be mentally very strong,,hindi
 ____ _____ ____,to defeat someone,,hindi
 ___ __ ___ _____,to destroy someone,,hindi
___-___ ____ ____,to be very tired,,hindi
______ _____,to split bad words in anger,,hindi
______ _____,to betray,,hindi
___ __ ______,to be idiot,,hindi
____ __ ____,to be only support of someone,,hindi
___ – ___ ____,"to make excuses, to procrastinate",,hindi
_____ _____,to look angrily,,hindi
___ – ____ _____,to flatter someone,,hindi
_____ __ _____,to be ashamed to someone,,hindi
____ – _____ __ ____,to work very hard,,hindi
____ _____,to change one's behavior,,hindi
____ ___ __ _____,to make excessive noise in anger,,hindi
_____ ___ _____,to find something or someone unpleasent,,hindi
___ ___ __ ___,to be very annoyed,,hindi
_____ ______,to embarrass,,hindi
___ – ____ __ ___ _____,to make every possible effort,,hindi
___ ____,to prepare oneself,,hindi
___ ___,to sacrifice,,hindi
___ ___ ___ _____,"to ignore, to show or behave that nothing was heard",,hindi
___ ____,"to backbite, to badmouth about someone to someone’s back",,hindi
___ ____ ____,to kill someone,,hindi
___ – _____ __ ____,to work very hard,,hindi
___ _____,to be very angry,,hindi
___ _____,to wander aimlessly,,hindi
____-____ ____,to destroy one’s good mood,,hindi
____ ___ ____ ____,to say much with just few words,,hindi
____ ______ _______,to pull something from past,,hindi
_____ _____,to accept defeat,,hindi
___ – ____ _____,to make an occasion better,,hindi
____ __ _____ ____,to make heart stronger and accept sorrow,,hindi
____ __ ____ _____,to get envious,,hindi
___ __ _____,rising own life,,hindi
__ _____,to waste time,,hindi
_____ ___ ____,to be a difficult task,,hindi
____ _____,to create obstacles,,hindi
___ _____,to attack,,hindi
____ ____,to be disappointed,,hindi
____ _____,unable to go to sleep,,hindi
____ – ___ ____,to travel a lot,,hindi
__ – __ ______ ____,to disappear or run away,,hindi
___ ___ __ ___,to get annoyed,,hindi
____ ______,to embarrass someone,,hindi
,,,hindi
