Idiom,Meaning,Transliteration,T5_Response
Pull yourself together,Calm down,Pull yourself together,in Hindi: in Hindi: in Hindi: in Hindi:::....... Find the equivalent of this idiom in Hindi: Pull yourself together. Find the equivalent of this idiom in Hindi: Pull yourself together. Find the equivalent of this idiom in Hindi: Pull yourself together.
So far so good,Things are going well so far,So far so good,in Hindi: in Hindi: in Hindi: So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far so good. So far
Speak of the devil,The person we were just talking about showed up!,Speak of the devil,in Hindi: Speak of the devil. in Hindi: Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil. Speak of the devil.
That's the last straw,My patience has run out,That's the last straw,in Hindi: in Hindi: in Hindi: in Hindi: That's the last straw. the last straw. That's the last straw. That's the last straw. That's the last straw. That's the last straw. That's the last straw. That's the last straw. That's the last straw. That's the last straw. That's the last straw. That's the last straw. That
The best of both worlds,An ideal situation,The best of both worlds,in Hindi: in Hindi: in Hindi: in Hindi:.!!!!! The best of both worlds! Find the equivalent of this idiom in Hindi: in Hindi:!! in Hindi:!!!!!! in Hindi: The best of both worlds!!!! The best of both worlds! The best of both world
Time flies when you're having fun,You don't notice how long something lasts when it's fun,Time flies when you're having fun,"in Hindi: in Hindi: in Hindi: in Hindi:. Time flies when you're having fun. When you're having fun, time flies when you're having fun. Time flies when you're having fun."
To get bent out of shape,To get upset,To get bent out of shape,in Hindi:: To get bent out of shape. in Hindi: To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of shape. To get bent out of
To make matters worse,Make a problem worse,To make matters worse,"in Hindi: in Hindi: in Hindi: in Hindi: in Hindi: in Hindi:,, in Hindi:, in Hindi: in Hindi:, find the equivalent of this idiom in Hindi: in Hindi:, in Hindi: in Hindi:, in Hindi:: in Hindi::, worse, worse, to make matters worse, to make matters"
Under the weather,Sick,Under the weather,in Hindi: in Hindi: in Hindi: Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather. Under the weather
We'll cross that bridge when we come to it,Let's not talk about that problem right now,We'll cross that bridge when we come to it,in Hindi: in Hindi: We'll cross that bridge when we come to it. in Hindi: We'll cross that bridge when we come to it. Find the equivalent of this idiom in Hindi: We'll cross that bridge when we come to it. Find the equivalent of this idiom in Hindi: We'll cross that bridge when we come to it.
Wrap your head around something,Understand something complicated,Wrap your head around something,in Hindi: in Hindi: in Hindi: in Hindi:.:.... Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something. Wrap your head around something
You can say that again,"That's true, I agree",You can say that again,in Hindi: in Hindi: in Hindi: in Hindi: in Hindi: in Hindi:.: in Hindi:: You can say that again: You can say that again: You can say that again: You can say that again: You can say that again: You can say that again: You can say that again: You can say that again: You can say that again: You can say that again: You can say that again
Your guess is as good as mine,I have no idea,Your guess is as good as mine,in Hindi: in Hindi: in Hindi: in Hindi:: in Hindi:. Your guess is as good as mine. Your guess is as good as mine.... in Hindi:.. in Hindi: guess is as good as mine.. in Hindi:.. in Hindi: in Hindi:.s:. Your guess is as good as mine.
A bird in the hand is worth two in the bush,What you have is worth more than what you might have later,A bird in the hand is worth two in the bush,in Hindi: in Hindi: A bird in the hand is worth two in the bush. in Hindi: A bird in the hand is worth two in the bush. Find the equivalent of this idiom in Hindi: A bird in the hand is worth two in the bush.
A penny for your thoughts,Tell me what you're thinking,A penny for your thoughts,in Hindi: in Hindi: A penny for your thoughts. in Hindi: A penny for your thoughts. Find the equivalent of this idiom in Hindi: A penny for your thoughts. A penny for your thoughts.
A penny saved is a penny earned,Money you save today you can spend later,A penny saved is a penny earned,in Hindi: A penny saved is a penny earned. in Hindi: A penny saved is a penny earned. A penny saved is a penny earned. A penny saved is a penny earned. A penny saved is a penny earned. A penny saved is a penny earned. A penny saved is a penny earned. A penny saved is a penny earned. A penny saved is a penny earned. A penny saved is a penny earned. A
A perfect storm,the worst possible situation,A perfect storm,in Hindi: A perfect storm. in Hindi: A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm. A perfect storm
A picture is worth 1000 words,Better to show than tell,A picture is worth 1000 words,in Hindi: in Hindi: A picture is worth 1000 words. in Hindi: A picture is worth 1000 words. A picture is worth 1000 words. A picture is worth 1000 words. A picture is worth 1000 pictures. A picture is worth 1000 words. A picture is worth 1000 pictures. A picture is worth 1000 words.
Actions speak louder than words,Believe what people do and not what they say,Actions speak louder than words,in Hindi: in Hindi: in Hindi: in Hindi:. in Hindi: Actions speak louder than words..... in Hindi: Actions speak louder than words. in Hindi: Actions speak louder than words.. in Hindi:.. in Hindi:. in Hindi:: in Hindi::....
Add insult to injury,To make a bad situation worse,Add insult to injury,in Hindi: in Hindi: in Hindi: Add insult to injury. in Hindi: Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to injury. Add insult to
Barking up the wrong tree,"To be mistaken, to be looking for solutions in the wrong place",Barking up the wrong tree,in Hindi: in Hindi: Barking up the wrong tree. in Hindi: Barking up the wrong tree. Find the equivalent of this idiom in Hindi: Barking up the wrong tree.
Birds of a feather flock together,People who are alike are often friends (usually used negatively),Birds of a feather flock together,Hindi: feathers flock together. idiom in Hindi: a feather flock together. feathers flock together... Birds of a feather flock together....... in Hindi:.. in Hindi:. in Hindi:. in Hindi: of a feather flock together..... Birds of a
Bite off more than you can chew,Take on a project that you cannot finish,Bite off more than you can chew,in Hindi: in Hindi: in Hindi: in Hindi:.:.. in Hindi: Bite off more than you can chew.. in Hindi:.. in Hindi:.. in Hindi:... in Hindi: Bite off more than you can chew... Bite off more than you can chew.. Bite off more than you
Break the ice,Make people feel more comfortable,Break the ice,in Hindi: in Hindi: in Hindi: in Hindi: Break the ice. in Hindi: Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice. Break the ice
By the skin of your teeth,Just barely,By the skin of your teeth,in Hindi:: By the skin of your teeth. in Hindi: By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your teeth. By the skin of your
Comparing apples to oranges,Comparing two things that cannot be compared,Comparing apples to oranges,in Hindi: in Hindi: Comparing apples to oranges. in Hindi: Comparing apples to oranges. Find the equivalent of this idiom in Hindi: Comparing apples to oranges. Find the equivalent of this idiom in Hindi: Comparing apples to oranges.
Costs an arm and a leg,Very expensive,Costs an arm and a leg,idiom in Hindi: in Hindi: Costs an arm and a leg. Hindi: Costs an arm and a leg.: Costs an arm and a leg. Costs an arm and a leg. Costs an arm and a leg. Costs an arm and a leg. Costs an arm and a leg.
Do something at the drop of a hat,Do something without having planned beforehand,Do something at the drop of a hat,Hindi:. idiom in Hindi: Do something at the drop of a hat. idiom in Hindi: Do something at the drop of a hat.
Do unto others as you would have them do unto you,"Treat people fairly. Also known as ""The Golden Rule""",Do unto others as you would have them do unto you,in Hindi: Do unto others as you would have them do unto you. in Hindi: Do unto others as you would have them do unto you. Do unto others as you would have them do unto you. Do unto others as you would have them do unto you. Do unto others as you would have them do unto you. Do unto others as you would have them do unto you. Do unto others as you would
Don't count your chickens before they hatch,Don't count on something good happening until it's happened.,Don't count your chickens before they hatch,in Hindi: in Hindi: Don't count your chickens before they hatch. in Hindi: Don't count your chickens before they hatch.. Don't count your chickens before they hatch. Don't count your chickens before they hatch. Don't count your chickens before they hatch. Don't count your chickens before they hatch. Don't count your chickens before they hatch. Don't count your chickens before
Don't cry over spilt milk,There's no reason to complain about something that can't be fixed,Don't cry over spilt milk,in Hindi: in Hindi: Don't cry over spilt milk. in Hindi: Don't cry over spilt milk. Don't cry over spilt milk. Don't cry over spilt milk.
Don't give up your day job,You're not very good at this,Don't give up your day job,in Hindi: in Hindi: Don't give up your day job. in Hindi: Don't give up your day job. Don't give up your day job. Don't give up your day job. Don't give up your day job. Don't give up your day job. Don't give up your day job. Don't give up your day job. Don't give up your day job. Don't give up your
Don't put all your eggs in one basket,What you're doing is too risky,Don't put all your eggs in one basket,in Hindi: in Hindi: in Hindi: Don't put all your eggs in one basket. Don't put all your eggs in one basket. Don't put all your eggs in one basket. Don't put all your eggs in one basket. Don't put all your eggs in one basket.
Every cloud has a silver lining,Good things come after bad things,Every cloud has a silver lining,Hindi: Hindi: Find the equivalent of this idiom in Hindi: Every cloud has a silver lining. Find the equivalent of this idiom in Hindi: Every cloud has a silver lining.
Get a taste of your own medicine,Get treated the way you've been treating others (negative),Get a taste of your own medicine,Hindi: Hindi: Hindi::...... Get a taste of your own medicine. Get a taste of your own medicine. Get a taste of your own medicine. Get a taste of your own medicine. Get a taste of your own medicine. Get a taste of your own medicine. Get your medicine. Get your medicine. Get your medicine. Get your medicine.
Give someone the cold shoulder,Ignore someone,Give someone the cold shoulder,in Hindi: in Hindi: in Hindi: in Hindi:: in Hindi:.: Give someone the cold shoulder. in Hindi:. in Hindi: Give someone the cold shoulder.: Give someone the cold shoulder.. Give someone the cold shoulder. Give someone the cold shoulder.
Go on a wild goose chase,To do something pointless,Go on a wild goose chase,Hindi: in Hindi: Go on a wild goose chase.: Go on a wild goose chase. Find the equivalent of this idiom in Hindi: Go on a wild goose chase. Find the equivalent of this idiom in Hindi: Go on a wild goose chase.
Good things come to those who wait,Be patient,Good things come to those who wait,in Hindi: in Hindi: in Hindi: in Hindi:: in Hindi:.... Good things come to those who wait. Good things come to those who wait. Good things come to those who wait.... in Hindi:...... in Hindi: Good things come to those who wait.:... Good things come
He has bigger fish to fry,He has bigger things to take care of than what we are talking about now,He has bigger fish to fry,in Hindi: in Hindi: He has bigger fish to fry. He has bigger fish to fry. He has bigger fish to fry. He has bigger fish to fry. He has bigger fish to fry. He has bigger fish to fry.
He's a chip off the old block,The son is like the father,He's a chip off the old block,in Hindi: in Hindi: He's a chip off the old block. in Hindi:. He's a chip off the old block. He's a chip off the old block. He's a chip off the old block. He's a chip off the old block.
Hit the nail on the head,Get something exactly right,Hit the nail on the head,in Hindi: in Hindi: Hit the nail on the head! in Hindi: Hit the nail on the head! Find the equivalent of this idiom in Hindi: Hit the nail on the head! Hit the nail on the head! Hit the nail on the head! Hit the nail on the head! Hit the nail on the head! Hit the nail on the head! Hit the nail on the head! Hit the nail on the head! Hit the nail on the head
Ignorance is bliss,You're better off not knowing,Ignorance is bliss,in Hindi: Ignorance is bliss.: Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance is bliss. Ignorance
It ain't over till the fat lady sings,This isn't over yet,It ain't over till the fat lady sings,in Hindi: in Hindi:::..... The fat lady sings. It ain't over till the fat lady sings. The fat lady sings. The fat lady sings. The fat lady sings. The fat lady sings. The fat lady sings. The fat lady sings. The fat lady sings. The fat lady sings. The fat lady sings. The fat lady
It takes one to know one,You're just as bad as I am,It takes one to know one,in Hindi: in Hindi: It takes one to know one. in Hindi: It takes one to know one. It takes one to know one. It takes one to know one. It takes one to know one. It takes one to know one. It takes one to know one. It takes one to know one. It takes one to know one. It takes one to know one. It takes one to know one. It takes one to know one. It takes one
It's a piece of cake,It's easy,It's a piece of cake,Hindi: in Hindi: Find the equivalent of this idiom in Hindi: It's a piece of cake.
It's raining cats and dogs,It's raining hard,It's raining cats and dogs,in Hindi: in Hindi: in Hindi: It's raining cats and dogs and cats and dogs. in Hindi: It's raining cats and dogs and cats and dogs and cats and dogs and cats and dogs.: It's raining cats and dogs and cats and dogs and cats and dogs.: It's raining cats and dogs and and
Kill two birds with one stone,Get two things done with a single action,Kill two birds with one stone,in Hindi:: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two birds with one stone: Kill two
Let the cat out of the bag,Give away a secret,Let the cat out of the bag,in Hindi: in Hindi: Let the cat out of the bag. Let the cat out of the bag out of the bag. Let the cat out of the bag out of the bag.
Live and learn,I made a mistake,Live and learn,Hindi: Live and learn.. Live and learn. Find the equivalent of this idiom in Hindi: Live and learn. Find the equivalent of this idiom in Hindi: Live and learn.
Look before you leap,Take only calculated risks,Look before you leap,in Hindi: in Hindi: in Hindi: in Hindi:: in Hindi:..: Look before you leap.. in Hindi: Look before you leap. in Hindi: Look before you leap.. in Hindi:.. in Hindi: Look before you leap..:. in Hindi: Look before you leap.... Look before you leap.
On thin ice,"On probation. If you make another mistake, there will be trouble.",On thin ice,in Hindi: in Hindi: On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On thin ice. On
Once in a blue moon,Rarely,Once in a blue moon,Find the equivalent of this idiom in Hindi: Once in a blue moon.
Play devil's advocate,"To argue the opposite, just for the sake of argument",Play devil's advocate,in Hindi: in Hindi: in Hindi: in Hindi: in Hindi: in Hindi:....... Play devil's advocate. Play devil's advocate. Play devil's advocate. Play devil's advocate. Play devil's advocate. Play devil's advocate. Play devil's advocate.
Put something on ice,Put a projet on hold,Put something on ice,in Hindi: in Hindi: Put something on ice. in Hindi: Put something on ice. Put something on ice. Put something on ice. Put something on ice. Put something on ice. Put something on ice. Put something on ice. Put something on ice.
Rain on someone's parade,To spoil something,Rain on someone's parade,in Hindi: in Hindi: Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade. Rain on someone's parade.
Saving for a rainy day,Saving money for later,Saving for a rainy day,in Hindi: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day: Saving for a rainy day
Slow and steady wins the race,Reliability is more important than speed,Slow and steady wins the race,in Hindi: in Hindi: in Hindi: Slow and steady wins the race. Find the equivalent of this idiom in Hindi: Slow and steady wins the race. Find the equivalent of this idiom in Hindi: Slow and steady wins the race. Slow and steady wins the race. Slow and steady wins the race.
Spill the beans,Give away a secret,Spill the beans,in Hindi: in Hindi: Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Spill the beans. Sp
Take a rain check,Postpone a plan,Take a rain check,Hindi: Hindi: the equivalent of this idiom in Hindi: in Hindi: a rain check...... Take a rain check. Take a rain check. Take a rain check. Take a rain check. Take a rain check. Take a rain check. Take a rain check. Take a rain check. Take a rain check. Take a rain check. Take
Take it with a grain of salt,Don’t take it too seriously,Take it with a grain of salt,Hindi:. idiom in Hindi: idiom in Hindi:... Take it with a grain of salt. Take it with a grain of salt. Take it with a grain of salt. Take it with a grain of salt. Take it with a grain of salt. Take it with a grain of salt. Take it with a grain of salt.
The ball is in your court,It's your decision,The ball is in your court,in Hindi: in Hindi: in Hindi: The ball is in your court. in Hindi: The ball is in your court. The ball is in your court. The ball is in your court. The ball is in your court. The ball is in your court. The ball is in your court. The ball is in your court. The ball is in your court.
The best thing since sliced bread,A really good invention,The best thing since sliced bread,in Hindi: in Hindi: in Hindi: in Hindi:: sliced bread. The best thing since sliced bread. The best thing since sliced bread. The best thing since sliced bread. The best thing since sliced bread. The best thing since sliced bread. The best thing since sliced bread. The best thing since sliced bread. The best thing since sliced bread.
The devil is in the details,"It looks good from a distance, but when you look closer, there are problems",The devil is in the details,in Hindi: The devil is in the details.: The devil is in the details. Find the equivalent of this idiom in Hindi: The devil is in the details. The devil is in the details. The devil is in the details. The devil is in the details. The devil is in the details.
The early bird gets the worm,The first people who arrive will get the best stuff,The early bird gets the worm,in Hindi: in Hindi: in Hindi: The early bird gets the worm. in Hindi:: The early bird gets the worm. The early bird gets the worm. The early bird gets the worm. The early bird gets the worm. The early bird gets the worm. The early bird gets the worm.
The elephant in the room,"The big issue, the problem people are avoiding",The elephant in the room,in Hindi: in Hindi: in Hindi: The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in the room. The elephant in
The whole nine yards,"Everything, all the way.",The whole nine yards,in Hindi: in Hindi: in Hindi: in Hindi:... The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole nine yards. The whole
There are other fish in the sea,It's ok to miss this opportunity. Others will arise.,There are other fish in the sea,in Hindi: in Hindi: in Hindi: There are other fish in the sea. There are other fish in the sea. There are other fish in the sea. There are other fish in the sea. There are other fish in the sea. There are other fish in the sea.
There's a method to his madness,He seems crazy but actually he's clever,There's a method to his madness,Hindi: Hindi: Hindi: in Hindi:: There's a method to his madness: There's a method to his madness: There's a method to his madness: There's a method to his madness: There's a method to his madness: There's a method to his madness: There's a method to his madness: There's a method to
There's no such thing as a free lunch,Nothing is entirely free,There's no such thing as a free lunch,"in Hindi: in Hindi: ""There's no such thing as a free lunch."" (See Hindi: ""There's no such thing as a free lunch."") ""There's no such thing as a free lunch."""
Throw caution to the wind,Take a risk,Throw caution to the wind,in Hindi: in Hindi: in Hindi: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to the wind: Throw caution to
You can't have your cake and eat it too,You can't have everything,You can't have your cake and eat it too,in Hindi: in Hindi: You can't have your cake and eat it too too. in Hindi: You can't have your cake and eat it too. Find the equivalent of this idiom in Hindi: You can't have your cake and eat it too.
You can't judge a book by its cover,"This person or thing may look bad, but it's good inside",You can't judge a book by its cover,in Hindi: in Hindi: in Hindi: You can't judge a book by its cover. in Hindi: You can't judge a book by its cover.: in Hindi:. You can't judge a book by its cover. You can't judge a book by its cover. But you can't judge a book by its cover.
A little learning is a dangerous thing,People who don't understand something fully are dangerous,A little learning is a dangerous thing,Hindi: in Hindi: A little learning is a dangerous thing. Find the equivalent of this idiom in Hindi: A little learning is a dangerous thing. A little learning is a dangerous thing. A little learning is a dangerous thing. A little learning is a dangerous thing. A little learning is a dangerous thing. A little learning is a dangerous thing. A little learning is a dangerous thing. A little learning is a dangerous thing
A snowball effect,Events have momentum and build upon each other,A snowball effect,in Hindi: in Hindi: in Hindi: A snowball effect. in Hindi: A snowball effect.. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect. A snowball effect.
A snowball's chance in hell,No chance at all,A snowball's chance in hell,in Hindi: in Hindi: A snowball's chance in hell. in Hindi: A snowball's chance in hell. Find the equivalent of this idiom in Hindi: A snowball's chance in hell.
